id,record_id,contact,description
A1,66c4c628-9908-36b0-ef7d-c45a6ebe64f2,Retainer Client 04,Duplicate retainer invoice £1303.88
A1,4e6466f4-d7e0-a041-ee23-d837443100e0,Retainer Client 07,Duplicate retainer invoice £1344.31
A1,ba478d78-9773-811e-9812-fc62f490119a,Retainer Client 05,Duplicate retainer invoice £2800.15
A1,659a5d0c-3056-b473-83e4-4f132959e5c1,Retainer Client 07,Duplicate retainer invoice £1344.31
A1,07b4625e-8da6-2b23-f2e9-1bc6a03631ad,Retainer Client 02,Duplicate retainer invoice £1960.09
A1,2cc3602e-7d46-3473-8a78-980fd5f20495,Retainer Client 05,Duplicate retainer invoice £2800.15
A1,ba963dfa-3068-7b1b-ba17-d5bd8b2534bb,Retainer Client 03,Duplicate retainer invoice £1778.03
A1,5a971a73-cf6f-ede6-0778-07a5b1dbd7a7,Retainer Client 01,Duplicate retainer invoice £1297.54
A1,d37bd618-e2dc-9154-728a-a7315768de82,Retainer Client 07,Duplicate retainer invoice £1344.31
A1,68725a65-1f82-decc-aac2-08036dc731c6,Retainer Client 02,Duplicate retainer invoice £1960.09
A1,94e20f15-11e2-c479-6dfb-cd94d24ba9a9,Retainer Client 03,Duplicate retainer invoice £1778.03
A1,ba7240a2-c4b4-8249-d3ff-7812f141f667,Retainer Client 04,Duplicate retainer invoice £1303.88
A2,ceb6da79-3c4d-58c5-092b-78235aabaad3,Supplier 14,"Coded INPUT2, normally ZERORATEDINPUT"
A2,3944e152-6348-1e5a-105f-17c54b14469d,Supplier 09,"Coded ZERORATEDINPUT, normally INPUT2"
A2,393b6c77-e94c-eced-ec58-849fdb7654cd,Supplier 02,"Coded ZERORATEDINPUT, normally INPUT2"
A2,f4443e01-0140-be56-a9e1-2344e364df61,Supplier 20,"Coded ZERORATEDINPUT, normally INPUT2"
A2,17be5699-c9a0-b272-ba44-abaae646af78,Supplier 11,"Coded ZERORATEDINPUT, normally INPUT2"
A2,8ee1b7a6-da66-b7b1-1e27-fdde1b09a44c,Supplier 19,"Coded ZERORATEDINPUT, normally INPUT2"
A2,74106831-27b0-1967-0530-d20412fe89f7,Supplier 01,"Coded ZERORATEDINPUT, normally INPUT2"
A2,ff92e420-75b2-4f97-43e7-39bd16698f09,Supplier 13,"Coded ZERORATEDINPUT, normally INPUT2"
A2,3e42cd57-23fd-a432-6082-2bfa5534184c,Supplier 06,"Coded ZERORATEDINPUT, normally INPUT2"
